query,pos,query_en,pos_en
Hậu Giang nằm ở khu vực nào,"Hậu Giang là tỉnh ở trung tâm châu thổ sông Mê Kông , thuộc khu vực nội địa của Đồng bằng Sông Cửu Long . Trước năm 1976 , Hậu Giang là tên gọi của sông Hậu . Vùng đất thuộc tỉnh Hậu Giang ngày nay trước năm 1956 nằm rải rác thuộc tỉnh Cần Thơ và tỉnh Rạch Giá .",Where is Hau Giang located,"Hau Giang is a province in the center of the Mekong Delta, in the inland area of the Mekong Delta. Before 1976, Hau Giang was the name of the Hau River. The land of today's Hau Giang province before 1956 was scattered in Can Tho province and Rach Gia province."
Hội An được UNESCO công nhận vào năm nào,"Tại Hội An có Phố cổ Hội An với những di sản kiến trúc đã có từ hàng trăm năm trước , được công nhận là di sản văn hoá của UNESCO từ năm 1999 .",What year is Hoi An recognized by UNESCO,"Hoi An Ancient Town, an architectural heritage site dating back hundreds of years, has been recognized as a UNESCO cultural heritage site since 1999."
Tôn giáo chính ở Bangladesh là gì,"Hai tôn giáo chính ở Bangladesh là Hồi giáo ( 88% theo ước tính của Bộ Nội vụ Hoa Kỳ , 2005 ) và Hindu giáo ( 11% theo ước tính của Bộ nội vụ Hoa Kỳ , 2005 ) . Dân tộc Bihari chủ yếu là người Hồi giáo Shia . Các nhóm tôn giáo khác gồm Phật giáo , Thiên chúa giáo và Thuyết duy linh .",What is the main religion in Bangladesh,"The two main religions in Bangladesh are Islam (88% according to U.S. Department of the Interior, 2005) and Hinduism ( 11% according to U.S. Department of the Interior, 2005). Bihari ethnicity is predominantly Shia Muslim. Other religious groups include Buddhism, Christianity and Spiritualism."
Đại Việt sử ký toàn thư của Ngô Sĩ Liên gồm bao nhiêu quyển,"Sau đó , nhà sử học Ngô Sĩ Liên dựa trên các tác phẩm của Lê Văn Hưu và Phan Phu Tiên để biên soạn bộ "" Đại Việt sử ký toàn thư "" bao gồm 15 quyển được hoàn thành năm 1479 .",How many volumes does Đại Việt sử ký toàn thư of Ngô Sĩ Liên include?,"Later, historian Ngô Sĩ Liên based on the works of Lê Văn Hưu and Phan Phu Tiên to compile the "" Đại Việt sử ký toàn thư "" consisting of 15 books completed in 1479."
Giáo hoàng là ai,"Giáo hoàng là vị giám mục của Giáo phận Rôma, lãnh đạo của Giáo hội Công giáo toàn thế giới. Theo quan điểm của Giáo hội Công giáo, giáo hoàng là người kế vị Thánh Phêrô - tông đồ trưởng của Chúa Giêsu, với vai trò là người giữ chìa khóa thiên đàng, là ""tảng đá"" để xây dựng nên giáo hội.",Who is the Pope?,"The pope is the bishop of the Diocese of Rome, the leader of the Catholic Church worldwide. In the view of the Catholic Church, the pope is the successor of St. Peter - the chief apostle of Jesus, as the holder of the key to heaven, which is the ""stone"" on which the church is built."
México được công nhận độc lập năm nào,"Bắt đầu từ thế kỷ XVI , México bị thực dân Tây Ban Nha đô hộ và đến năm 1810 thì tuyên bố độc lập và chính thức được công nhận vào năm 1821 . México hiện nay là quốc gia Mỹ Latinh duy nhất nằm trong Tổ chức Hợp tác và Phát triển Kinh tế .",What year was Mexico recognized as an independent country,"Beginning in the 16th century, Mexico was colonized by the Spanish and in 1810 declared its independence and officially recognized in 1821. Mexico is now the only Latin American country in the Organization for Economic Cooperation and Development."
México được công nhận độc lập năm nào,"Với Tuyên ngôn Độc lập của Đế quốc México từ Tây Ban Nha năm 1821 , México đã trở thành một chế độ quân chủ là Đế quốc México thứ nhất ( 1822 – 1823 ) . Nền quân chủ đã sớm thay thế bằng nền Cộng hoà México đầu tiên . Lần lượt , México trở lại thành một chế độ quân chủ vào thập niên 1860 dưới thời Đế quốc México thứ hai ( 1864 – 1867 ) .",What year was Mexico recognized as an independent country,"With the Declaration of Independence of the Mexican Empire from Spain in 1821, Mexico became a monarchy as the First Mexican Empire (1822 – 1823). The monarchy was soon replaced by the First Mexican Republic. In turn, Mexico returned to a monarchy in the 1860s under the Second Mexican Empire (1864 – 1867)."
Phan Chu Trinh là ai,"Phan Châu Trinh ( còn được gọi Phan Chu Trinh ; 1872 – 1926 ) , hiệu là Tây Hồ , Hy Mã , tự là Tử Cán . Ông là nhà thơ , nhà văn , và là nhà hoạt động chính trị thời cận đại trong lịch sử Việt Nam .",Who is Phan Chu Trinh,"Phan Chau Trinh (also known as Phan Chu Trinh; 1872 – 1926), nicknamed Tay Ho, Hy Ma, self-titled Tu Can. He was a poet, writer, and political activist in modern Vietnamese history."
Hồ Ngọc Hà từng là đại sứ quảng bá cho những thương hiệu nào,"Hồ Ngọc Hà còn là đại sứ quảng bá cho các nhãn hàng như Sunplay , Toshiba , Sony Ericsson , Sunsilk ... và là đại sứ cho kênh truyền hình âm nhạc YanTV .",What brands has Ho Ngoc Ha been an ambassador for?,"Ho Ngoc Ha is also an ambassador for brands such as Sunplay, Toshiba, Sony Ericsson, Sunsilk ... and an ambassador for YanTV music channel."
Đại Việt sử ký toàn thư xuất bản lần đầu năm nào,"Và cuối cùng , sau hàng thế kỉ ngóng đợi , bộ quốc sử "" Đại Việt sử ký toàn thư "" đã được in toàn bộ và ban bố phát hành đầy đủ vào năm Đinh Sửu , niên hiệu Chính Hoà thứ 18 , tức là năm 1697 đời vua Lê Hy Tông .",The Đại Việt sử ký toàn thư published for the first time,"And finally, after centuries of waiting, the national history "" Đại Việt sử ký toàn thư "" was printed in its entirety and issued in full in Đinh Sửu, the 18th Republic, i.e. in 1697 King Lê Hy Tông."
Thiên hoàng Minh Trị sinh năm nào,"Thiên hoàng Minh Trị (明治天皇 Meiji-tennō?, 3 tháng 11, 1852 - 30 tháng 7, 1912) là vị Thiên hoàng thứ 122 của Nhật Bản theo Danh sách Thiên hoàng truyền thống, trị vì từ ngày 3 tháng 2 năm 1867 tới khi qua đời. Ông được coi là một vị minh quân có công lớn nhất trong lịch sử Nhật Bản, đã canh tân và đưa Nhật Bản trở thành một quốc gia hiện đại, thoát khỏi nguy cơ trở thành thuộc địa của các nước đế quốc phương Tây giữa lúc chủ nghĩa thực dân đang phát triển mạnh.",What year was Emperor Meiji born,"Emperor Meiji (明治天皇, Meiji-tennō, 3 November 1852 – 30 July 1912) was the 122nd Emperor of Japan according to the Traditional Emperor List, reigning from 3 February 1867 until his death. He is considered to be the greatest Meiji Emperor in Japanese history, who reformed and transformed Japan into a modern nation, freed from the danger of becoming a colony of Western imperialist countries amid the rise of colonialism."
Hồ Tây trước đây còn có những tên gọi gì,"Hồ Tây trước đây còn có các tên gọi khác như Đầm Xác Cáo , Hồ Kim Ngưu , Lãng Bạc , Dâm Đàm , Đoài Hồ , là một hồ nước tự nhiên lớn nhất ở nội thành Hà Nội . Hồ có diện tích hơn 500 ha với chu vi là 14,8 km . Hồ nằm ở vị trí phía tây bắc trung tâm Hà Nội .",What other names did the West Lake have before?,"West Lake, formerly known as Dam Xac Cao, Kim Nguu Lake, Lang Bac, Dam Dam, Doai Lake, is the largest natural lake in Hanoi. The lake has an area of more than 500 hectares with a circumference of 14.8 km. The lake is located in the northwest of the center of Hanoi."
Yoona là ai,"Im Yoon-ah ( Hangul : 임윤아 , Hanja : 林允儿 , Hán-Việt : Lâm Duẫn Nhi , sinh ngày 30 tháng 5 năm 1990 ) , thường được biết đến với nghệ danh Yoona , là một nữ ca sĩ và diễn viên người Hàn Quốc , thành viên nhóm nhạc nữ [ [ Girls ' Generation ] 소녀시대 ] . Cô đã tham gia diễn xuất trong một số bộ phim truyền hình như "" You Are My Destiny "" ( 2008 ) , "" Cinderella Man "" ( 2009 ) , "" [ [ Love Rain ] ] "" ( 2012 ) , "" [ [ Prime Minister and I ] ] "" ( 2013 ) , "" [ [ Võ Thần Triệu Tử Long ] ] "" ( 2016 ) , "" [ [ The K 2 ] ] "" ( 2016 ) và "" [ [ The King Loves ] ] "" ( 2017 ) .",Who is Yoona?,"Im Yoon-ah (Hangul: 임윤아 , Hanja: 林儿 , Hanja: Lâm Duẫn Nhi , born May 30, 1990), commonly known by her stage name Yoona, is a South Korean singer and actress, member of girl group [ Girls' Generation ] 소녀시대. She has acted in several dramas such as "" You Are My Destiny "" (2008 ) , "" Cinderella Man "" (2009 ) , "" [ [ Love Rain ] ] "" (2012 ) , "" [ [ Prime Minister and I ] ] "" (2013 ) , "" [ [ Võ Thần Triệu Tử Long ] ] "" (2016 ) , "" [ [ The K 2 ] ] "" (2016 ) and "" [ [ The King Loves ] ] "" (2017 ) ."
Hồ Ngọc Hà giành giải Nữ ca sĩ được yêu thích nhất vào năm nào,"Năm 2012 , cô nhận được giải HTV Award cho "" Nữ ca sĩ được yêu thích nhất "" . Sản phẩm tiếp theo của cô là DVD Hồ Ngọc Hà Live Concert . Liveshow xuất sắc nhận được giải Cống hiến cho "" Chương trình của năm "" .",When did Ho Ngoc Ha win the Favorite Female Singer Award?,"In 2012, she received the HTV Award for "" Most Favorite Female Singer "". Her next product was the DVD Ho Ngoc Ha Live Concert. Outstanding Liveshow received the Dedication Award for "" Program of the Year ""."
Ai là hoàng đế thứ 10 của triều Nguyễn,"Thành Thái ( chữ Hán : 成泰 , 14 tháng 3 năm 1879 – 20 tháng 3 năm 1954 ) , tên khai sinh là Nguyễn Phúc Bửu Lân , là vị Hoàng đế thứ 10 của triều đại Nhà Nguyễn , tại vị từ 1889 đến 1907 .",Who was the 10th emperor of the Nguyen Dynasty,"Thanh Thai (成泰; 14 March 1879 – 20 March 1954), born Nguyễn Phúc Bửu Lân, was the 10th emperor of the Nguyễn dynasty, reigning from 1889 to 1907."
Đông trùng hạ thảo là gì,"Đông trùng hạ thảo là một loại đông dược quý có bản chất là dạng ký sinh của loài nấm Ophiocordyceps sinensis thuộc nhóm nấm Ascomycetes trên cơ thể ấu trùng của một vài loài bướm trong chi "" Thitarodes "" ( trước đây phân loại trong chi "" Hepialus "" ) .",What is Cordyceps,Ophiocordyceps sinensis is a medicinal herb that is a parasitic form of the fungus Ophiocordyceps sinensis belonging to the group of Ascomycetes on the larvae of several species of butterflies in the genus Thitarodes (formerly classified in the genus Hepialus).
Hiệp định đối tác xuyên Thái Bình Dương được ký kết ở đâu,"Hiệp định Đối tác xuyên Thái Bình Dương ( tiếng Anh : "" Trans-Pacific Partnership Agreement "" - viết tắt TPP ) là một hiệp đinh / thoả thuận thương mại tự do được ký kết giữa 12 nước vào ngày 4 tháng 2 năm 2016 tại Auckland , New Zealand sau 5 năm đàm phán với mục đích hội nhập các nền kinh tế thuộc khu vực châu Á-Thái Bình Dương .",Where is the Trans - Pacific Partnership signed,"The Trans-Pacific Partnership Agreement (TPP) is a free trade agreement signed between 12 countries on 4 February 2016 in Auckland, New Zealand after five years of negotiations with the aim of integrating the economies of the Asia-Pacific region."
Dầu mỏ có màu gì,"Dầu mỏ hay dầu thô là một chất lỏng sánh đặc màu nâu hoặc ngả lục . Dầu mỏ tồn tại trong các lớp đất đá tại một số nơi trong vỏ Trái Đất . Dầu mỏ là một hỗn hợp hoá chất hữu cơ ở thể lỏng đậm đặc , phần lớn là những hợp chất của hydrocarbon , thuộc gốc alkane , thành phần rất đa dạng .",What color is petroleum,"Petroleum or crude oil is a dense brown or greenish liquid. Petroleum exists in the layers of soil in some places in the Earth's crust. Petroleum is a mixture of organic chemicals in the dense liquid, most of which are compounds of hydrocarbons, of alkane origin, very diverse composition."
Trần Thủ Độ mất năm nào,"Năm 1264 , mùa xuân , tháng Giêng , Thái sư Trần Thủ Độ qua đời , thọ 71 tuổi . Ông được Trần Thái Tông truy tặng thuỵ hiệu là Thượng phụ Thái sư Trung Vũ đại vương .",What year did Trần Thủ Độ die?,"In 1264, the spring, January, Buddhist monk Tran Thu Do died, aged 71. He was posthumously awarded the title of Grand Master of Trung Vu Dai Vuong by Tran Thai Tong."
Tiết đông chí là ngày nào,"Theo quy ước , tiết đông chí là khoảng thời gian bắt đầu từ khoảng ngày 21 hay 22 tháng 12 khi kết thúc tiết đại tuyết và kết thúc vào khoảng ngày 5 hay 6 tháng một trong lịch Gregory theo các múi giờ Đông Á khi tiết tiểu hàn bắt đầu .",What day is the winter solstice,"By convention, winter solstice is the period beginning around December 21 or 22 at the end of the Great Snow and ending around January 5 or 6 in the Gregorian calendar according to the East Asian time zones when Typhoon begins."
Khí clo có màu gì,"Ở dạng nguyên tố , clo có dạng khí ( ở điều kiện tiêu chuẩn ) nhị nguyên tử ( phân tử ) có màu vàng lục nhạt .",What color is chlorine gas,"In its elemental form, chlorine is a gaseous (in standard conditions) biatomic (molecular) with a pale greenish-yellow color."
John Cena có bao nhiêu lần giữ đai WWE Championship,"John Cena tên khai sinh là John Felix Anthony Cena Jr . ( sinh ngày 23 tháng 4 năm 1977 ) , là đô vật chuyên nghiệp , ca sĩ nhạc hip hop , diễn viên người Mỹ biểu diễn cho SmackDown của WWE . Anh là nhà cựu vô địch WWE với kỷ lục 16 lần giữ đai WWE Championship .",How many times has John Cena held the WWE Championship?,"John Cena Jr. (born April 23, 1977) is an American professional wrestler, hip hop singer, and actor who performs for WWE's SmackDown. He is a former WWE Champion with a record 16 WWE Championship titles."
Tỉnh lỵ của Hậu Giang là gì,"Hậu Giang là một tỉnh ở đồng bằng sông Cửu Long , được thành lập vào năm 2004 do tách ra từ tỉnh Cần Thơ cũ . Tỉnh lỵ hiện nay là thành phố Vị Thanh cách Thành phố Hồ Chí Minh 240  km về phía tây nam , cách thành phố Cần Thơ 60  km theo Quốc lộ 61 và chỉ cách 40  km theo đường nối Vị Thanh – thành phố Cần Thơ",What is the capital of Hau Giang province,"Hau Giang is a province in the Mekong Delta, established in 2004 by splitting from the former Can Tho Province. The current provincial capital is Vi Thanh City, 240 km southwest of Ho Chi Minh City, 60 km from Can Tho City on National Highway 61 and only 40 km from Vi Thanh Road – Can Tho City"
RAM viết tắt của từ gì,"RAM ( viết tắt từ Random Access Memory trong tiếng Anh ) là một loại bộ nhớ khả biến cho phép truy xuất đọc-ghi ngẫu nhiên đến bất kỳ vị trí nào trong bộ nhớ dựa theo địa chỉ ô nhớ . Thông tin lưu trên RAM chỉ là tạm thời , chúng sẽ mất đi khi mất nguồn điện cung cấp .",RAM stands for what,"RAM (abbreviated from Random Access Memory in English) is a type of variable memory that allows random read-write access to any location in memory based on memory addresses. Information stored on RAM is temporary, they will be lost when the power supply is lost."
Hiệp định đối tác xuyên Thái Bình Dương được ký kết vào ngày nào,"Hiệp định Đối tác xuyên Thái Bình Dương ( tiếng Anh : "" Trans-Pacific Partnership Agreement "" - viết tắt TPP ) là một hiệp đinh / thoả thuận thương mại tự do được ký kết giữa 12 nước vào ngày 4 tháng 2 năm 2016 tại Auckland , New Zealand sau 5 năm đàm phán với mục đích hội nhập các nền kinh tế thuộc khu vực châu Á-Thái Bình Dương .",On which date was the Trans - Pacific Partnership signed,"The Trans-Pacific Partnership Agreement (TPP) is a free trade agreement signed between 12 countries on 4 February 2016 in Auckland, New Zealand after five years of negotiations with the aim of integrating the economies of the Asia-Pacific region."
Dân số Phần Lan năm 2015 là bao nhiêu,"Phần Lan là một trong những quốc gia dân cư thưa thớt nhất châu Âu. Theo số liệu tháng 8 năm 2015, dân số Phần Lan là 5 489 101người",What is the population of Finland in 2015,"Finland is one of the most sparsely populated countries in Europe. According to August 2015 figures, the population of Finland is 5 489 101"
Glucose còn gọi là gì,"Tên "" glucose "" đến từ ngôn ngữ Hy Lạp , chữ "" glu "" nghĩa là rượu nho ngọt , nước nho ; còn đuôi "" ose "" nhằm thể hiện sự phân loại chất trong hoá học ( đuôi "" ose "" biểu thị cho các chất cacbohydrat ) . Nó là đường hexose do cấu trúc phân tử mang 6 cacbon . Glucose có cấu tạo phân tử : CHO có 2 dạng là mạch vòng và mạch hở .",What is Glucose,"The name "" glucose "" comes from the Greek language, the word "" glu "" means sweet grape wine, grape juice; and the tail "" ose "" to show the classification of substances in chemistry (tail "" ose "" denotes carbohydrates). It is hexose sugar due to the molecular structure carries 6 carbons. Glucose has a molecular structure: CHO has 2 forms of loop and open circuit."
Thế vận hội mùa đông bắt đầu từ năm nào,"Thế vận hội mùa đông lần đầu được tổ chức như một cuộc thi riêng biệt vào năm 1924 tại Chanix-Mont-Blanc , Pháp.Từ thời điểm đó đến năm 1992 , thế vận hội mùa đông được tổ chức trong cùng năm với thế vận hội mùa hè nhưng bắt đầu từ thế vận hội mùa đông Lillehammer , Na Uy năm 1994 , thế vận hội mùa đông được thay đổi lịch tổ chức sao cho cả hai thế vận hội mùa đông và mùa hè diễn ra xen kẽ nhau , nghĩa là nếu thế vận hội mùa hè tổ chức vào năm 1992 thì thế vận hội mùa đông sẽ tổ chức vào năm 1994 và lần kế tiếp của thế vận hội mùa đông là 1998 trong khi thế vận hội mùa hè là năm 1996 .",What year does the Winter Olympics start?,"The Winter Olympics were first held as a separate event in 1924 in Chanix-Mont-Blanc, France. From that time until 1992, the Winter Olympics were held in the same year as the Summer Olympics, but starting with the 1994 Lillehammer Winter Olympics, Norway, the Winter Olympics were scheduled so that both the Winter and Summer Olympics would take place alternately, meaning that if the Summer Olympics were held in 1992, the Winter Olympics would take place in 1994 and the next Winter Olympics would take place in 1998, while the Summer Olympics would take place in 1996."
